Matrix,Tree
Acalyptophis_peronii,Hydrophis_peronii
Acontophiops_lineatus,Acontias_rieppeli
Adelphicos_quadrivirgatus,Adelphicos_quadrivirgatum
Adolfus_vauereselli,Congolacerta_vauereselli
Alsophis_anomalus,Haitiophis_anomalus
Alsophis_biserialis,Pseudalsophis_biserialis
Alsophis_cantherigerus,Cubophis_cantherigerus
Alsophis_elegans,Pseudalsophis_elegans
Alsophis_portoricensis,Borikenophis_portoricensis
Alsophis_vudii,Cubophis_vudii
Amphibolurus_nobbi,Diporiphora_nobbi
Amphiglossus_nanus,Madascincus_nanus
Amphiglossus_polleni,Madascincus_polleni
Anops_kingii,Amphisbaena_kingii
Antillophis_andreae,Caraiba_andreae
Apterygodon_vittatus,Dasia_vittata
Arrhyton_callilaemum,Schwartzophis_callilaemum
Arrhyton_exiguum,Magliophis_exiguum
Arrhyton_funereum,Schwartzophis_funereum
Arrhyton_polylepis,Schwartzophis_polylepis
Aspidoscelis_costatus,Aspidoscelis_costata
Aspidoscelis_guttatus,Aspidoscelis_guttata
Aspidoscelis_hyperythrus,Aspidoscelis_hyperythra
Aspidoscelis_inornatus,Aspidoscelis_inornata
Aspidoscelis_lineattissimus,Aspidoscelis_lineattissima
Aspidoscelis_marmoratus,Aspidoscelis_marmorata
Aspidoscelis_sexlineatus,Aspidoscelis_sexlineata
Astrotia_stokesii,Hydrophis_stokesii
Aulura_anomala,Amphisbaena_anomala
Bavayia_madjo,Paniegekko_madjo
Bibilava_epistibes,Thamnosophis_epistibes
Bibilava_infrasignatus,Thamnosophis_infrasignatus
Bibilava_lateralis,Thamnosophis_lateralis
Bibilava_martae,Thamnosophis_martae
Bibilava_stumpffi,Thamnosophis_stumpffi
Bogertia_lutzae,Phyllopezus_lutzae
Boiga_pulverulenta,Toxicodryas_pulverulenta
Bothrops_alcatraz,Bothropoides_alcatraz
Bothrops_alternatus,Rhinocerophis_alternatus
Bothrops_ammodytoides,Rhinocerophis_ammodytoides
Bothrops_cotiara,Rhinocerophis_cotiara
Bothrops_diporus,Bothropoides_diporus
Bothrops_erythromelas,Bothropoides_erythromelas
Bothrops_fonsecai,Rhinocerophis_fonsecai
Bothrops_insularis,Bothropoides_insularis
Bothrops_itapetiningae,Rhinocerophis_itapetiningae
Bothrops_jararaca,Bothropoides_jararaca
Bothrops_neuwiedi,Bothropoides_neuwiedi
Bothrops_punctata,Bothrops_punctatus
Bradypodion_caffrum,Bradypodion_caffer
Bronia_brasiliana,Amphisbaena_brasiliana
Bronia_kraoh,Amphisbaena_kraoh
Bronia_saxosa,Amphisbaena_saxosa
Caimanops_amphiboluroides,Diporiphora_amphiboluroides
Calliophis_bivirgata,Maticora_bivirgata
Carinatogecko_heteropholis,Mediodactylus_heteropholis
Carlia_coensis,Liburnascincus_coensis
Carlia_mundivensis,Liburnascincus_mundivensis
Carlia_scirtetis,Liburnascincus_scirtetis
Cercaspis_carinatus,Lycodon_carinatus
Cercolophia_cuiabana,Amphisbaena_cuiabana
Cercolophia_roberti,Amphisbaena_roberti
Cerrophidion_barbouri,Mixcoatlus_barbouri
Chamaeleo_affinis,Trioceros_affinis
Chamaeleo_balebicornutus,Trioceros_balebicornutus
Chamaeleo_bitaeniatus,Trioceros_bitaeniatus
Chamaeleo_cristatus,Trioceros_cristatus
Chamaeleo_deremensis,Trioceros_deremensis
Chamaeleo_ellioti,Trioceros_ellioti
Chamaeleo_feae,Trioceros_feae
Chamaeleo_fuelleborni,Trioceros_fuelleborni
Chamaeleo_goetzei,Trioceros_goetzei
Chamaeleo_harennae,Trioceros_harennae
Chamaeleo_hoehnelii,Trioceros_hoehnelii
Chamaeleo_jacksonii,Trioceros_jacksonii
Chamaeleo_johnstoni,Trioceros_johnstoni
Chamaeleo_melleri,Trioceros_melleri
Chamaeleo_montium,Trioceros_montium
Chamaeleo_narraioca,Trioceros_narraioca
Chamaeleo_oweni,Trioceros_oweni
Chamaeleo_pfefferi,Trioceros_pfefferi
Chamaeleo_quadricornis,Trioceros_quadricornis
Chamaeleo_rudis,Trioceros_rudis
Chamaeleo_schubotzi,Trioceros_schubotzi
Chamaeleo_sternfeldi,Trioceros_sternfeldi
Chamaeleo_tempeli,Trioceros_tempeli
Chamaeleo_werneri,Trioceros_werneri
Chamaeleo_wiedersheimi,Trioceros_wiedersheimi
Clelia_bicolor,Mussurana_bicolor
Clelia_rustica,Paraphimophis_rusticus
Cnemaspis_dickersoni,Cnemaspis_dickersonae
Coelognathus_radiata,Coelognathus_radiatus
Coelognathus_subradiata,Coelognathus_subradiatus
Coleodactylus_amazonicus,Chatogekko_amazonicus
Colobosaura_mentalis,Acratosaura_mentalis
Coluber_dorri,Bamanophis_dorri
Cordylus_campbelli,Namazonurus_campbelli
Cordylus_capensis,Hemicordylus_capensis
Cordylus_cataphractus,Ouroborus_cataphractus
Cordylus_coeruleopunctatus,Ninurta_coeruleopunctatus
Cordylus_giganteus,Smaug_giganteus
Cordylus_jordani,Karusasaurus_jordani
Cordylus_langi,Pseudocordylus_langi
Cordylus_lawrenci,Namazonurus_lawrenci
Cordylus_melanotus,Pseudocordylus_melanotus
Cordylus_microlepidotus,Pseudocordylus_microlepidotus
Cordylus_namaquensis,Namazonurus_namaquensis
Cordylus_nebulosus,Hemicordylus_nebulosus
Cordylus_peersi,Namazonurus_peersi
Cordylus_polyzonus,Karusasaurus_polyzonus
Cordylus_pustulatus,Namazonurus_pustulatus
Cordylus_spinosus,Pseudocordylus_spinosus
Cordylus_warreni,Smaug_warreni
Cryptelytrops_albolabris,Trimeresurus_albolabris
Cryptelytrops_andersonii,Trimeresurus_andersonii
Cryptelytrops_cantori,Trimeresurus_cantori
Cryptelytrops_erythrurus,Trimeresurus_erythrurus
Cryptelytrops_fasciatus,Trimeresurus_fasciatus
Cryptelytrops_insularis,Trimeresurus_insularis
Cryptelytrops_kanburiensis,Trimeresurus_kanburiensis
Cryptelytrops_macrops,Trimeresurus_macrops
Cryptelytrops_purpureomaculatus,Trimeresurus_purpureomaculatus
Cryptelytrops_septentrionalis,Trimeresurus_septentrionalis
Cryptelytrops_venustus,Trimeresurus_venustus
Cyclodina_aenea,Oligosoma_aeneum
Cyclodina_alani,Oligosoma_alani
Cyclodina_hardyi,Oligosoma_hardyi
Cyclodina_levidensa,Oligosoma_levidensum
Cyclodina_lichenigera,Oligosoma_lichenigera
Cyclodina_macgregori,Oligosoma_macgregori
Cyclodina_oliveri,Oligosoma_oliveri
Cyclodina_ornata,Oligosoma_ornatum
Cyclodina_townsi,Oligosoma_townsi
Cyclodina_whitakeri,Oligosoma_whitakeri
Cyrtopodion_heterocercum,Mediodactylus_heterocercum
Cyrtopodion_kotschyi,Mediodactylus_kotschyi
Cyrtopodion_russowii,Mediodactylus_russowii
Cyrtopodion_sagittiferum,Mediodactylus_sagittiferum
Cyrtopodion_spinicaudum,Mediodactylus_spinicaudum
Davewakeum_miriamae,Brachymeles_miriamae
Dendrophidion_percarinatus,Dendrophidion_percarinatum
Dinodon_rufozonatum,Lycodon_rufozonatum
Dinodon_semicarinatum,Lycodon_semicarinatum
Disteira_kingii,Hydrophis_kingii
Disteira_major,Hydrophis_major
Egernia_guthega,Liopholis_guthega
Egernia_inornata,Liopholis_inornata
Egernia_kintorei,Liopholis_kintorei
Egernia_luctuosa,Lissolepis_luctuosa
Egernia_margaretae,Liopholis_margaretae
Egernia_modesta,Liopholis_modesta
Egernia_montana,Liopholis_montana
