Species,Parity,Reference
Ablepharus_bivittatus,0,[24]
Ablepharus_budaki,0,[24]
Ablepharus_chernovi,0,[24]
Ablepharus_darvazi,0,[24]
Ablepharus_deserti,0,[24]
Ablepharus_grayanus,0,[24]
Ablepharus_kitaibelii,0,[24]
Ablepharus_pannonicus,0,[24]
Abronia_anzuetoi,1,[3]
Abronia_aurita,1,[3]
Abronia_bogerti,1,[3]
Abronia_campbelli,1,[3]
Abronia_chiszari,1,[3]
Abronia_deppii,1,[3]
Abronia_fimbriata,1,[3]
Abronia_frosti,1,[3]
Abronia_fuscolabialis,1,[3]
Abronia_gaiophantasma,1,[3]
Abronia_graminea,1,[3]
Abronia_leurolepis,1,[3]
Abronia_lythrochila,1,[3]
Abronia_martindelcampoi,1,[3]
Abronia_matudai,1,[3]
Abronia_meledona,1,[3]
Abronia_mitchelli,1,[3]
Abronia_mixteca,1,[3]
Abronia_montecristoi,1,[3]
Abronia_oaxacae,1,[3]
Abronia_ochoterenai,1,[3]
Abronia_ornelasi,1,[3]
Abronia_ramirezi,1,[3]
Abronia_reidi,1,[3]
Abronia_salvadorensis,1,[3]
Abronia_smithi,1,[3]
Abronia_taeniata,1,[3]
Acalyptophis_peronii,1,[20]
Acanthocercus_adramitanus,0,[2]
Acanthocercus_annectens,0,[2]
Acanthocercus_atricollis,0,[2]
Acanthocercus_cyanogaster,0,[2]
Acanthocercus_guentherpetersi,0,[2]
Acanthocercus_phillipsii,0,[2]
Acanthocercus_yemenensis,0,[2]
Acanthocercus_zonurus,0,[2]
Acanthodactylus_aegyptius,0,[11]
Acanthodactylus_ahmaddisii,0,[11]
Acanthodactylus_arabicus,0,[11]
Acanthodactylus_aureus,0,[11]
Acanthodactylus_bedriagai,0,[11]
Acanthodactylus_beershebensis,0,[11]
Acanthodactylus_blanci,0,[11]
Acanthodactylus_blanfordii,0,[11]
Acanthodactylus_boskianus,0,[11]
Acanthodactylus_boueti,0,[11]
Acanthodactylus_busacki,0,[11]
Acanthodactylus_cantoris,0,[11]
Acanthodactylus_dumerilii,0,[11]
Acanthodactylus_erythrurus,0,[11]
Acanthodactylus_felicis,0,[11]
Acanthodactylus_gongrorhynchatus,0,[11]
Acanthodactylus_grandis,0,[11]
Acanthodactylus_guineensis,0,[11]
Acanthodactylus_haasi,0,[11]
Acanthodactylus_harranensis,0,[11]
Acanthodactylus_lineomaculatus,0,[11]
Acanthodactylus_longipes,0,[11]
Acanthodactylus_maculatus,0,[11]
Acanthodactylus_masirae,0,[11]
Acanthodactylus_micropholis,0,[11]
Acanthodactylus_nilsoni,0,[11]
Acanthodactylus_opheodurus,0,[11]
Acanthodactylus_orientalis,0,[11]
Acanthodactylus_pardalis,0,[11]
Acanthodactylus_robustus,0,[11]
Acanthodactylus_savignyi,0,[11]
Acanthodactylus_schmidti,0,[11]
Acanthodactylus_schreiberi,0,[11]
Acanthodactylus_scutellatus,0,[11]
Acanthodactylus_senegalensis,0,[11]
Acanthodactylus_spinicauda,0,[11]
Acanthodactylus_taghitensis,0,[11]
Acanthodactylus_tilburyi,0,[11]
Acanthodactylus_tristrami,0,[11]
Acanthodactylus_yemenicus,0,[11]
Acanthophis_antarcticus,1,[20]
Acanthophis_barnetti,1,[20]
Acanthophis_crotalusei,1,[20]
Acanthophis_hawkei,1,[20]
Acanthophis_laevis,1,[20]
Acanthophis_praelongus,1,[20]
Acanthophis_pyrrhus,1,[20]
Acanthophis_rugosus,1,[20]
Acanthophis_wellsi,1,[20]
Acanthosaura_armata,0,[2]
Acanthosaura_capra,0,[2]
Acanthosaura_crucigera,0,[2]
Acanthosaura_lepidogaster,0,[2]
Acanthosaura_nataliae,0,[2]
Achalinus_ater,0,[17]
Achalinus_formosanus,0,[17]
Achalinus_hainanus,0,[17]
Achalinus_jinggangensis,0,[17]
Achalinus_meiguensis,0,[17]
Achalinus_niger,0,[17]
Achalinus_rufescens,0,[17]
Achalinus_spinalis,0,[17]
Achalinus_werneri,0,[17]
Acontias_breviceps,1,[23]
Acontias_gracilicauda,1,[23]
Acontias_meleagris,1,[23]
Acontias_percivali,1,[23]
Acontias_plumbeus,1,[23]
Acontias_poecilus,1,[23]
Acontophiops_lineatus,1,[23]
Acrantophis_dumerili,1,[18]
Acrantophis_madagascariensis,1,[18]
Acrochordus_arafurae,1,[15]
Acrochordus_granulatus,1,[15]
Acrochordus_javanicus,1,[15]
Acutotyphlops_banaorum,0,[16]
Acutotyphlops_infralabialis,0,[16]
Acutotyphlops_kunuaensis,0,[16]
Acutotyphlops_solomonis,0,[16]
Acutotyphlops_subocularis,0,[16]
Adelophis_copei,1,[19]
Adelophis_foxi,1,[19]
Adelphicos_daryi,0,[19]
Adelphicos_ibarrorum,0,[19]
Adelphicos_latifasciatus,0,[19]
Adelphicos_nigrilatum,0,[19]
Adelphicos_quadrivirgatus,0,[19]
Adelphicos_veraepacis,0,[19]
Adercosaurus_vixadnexus,0,[9]
Adolfus_africanus,0,[11]
Adolfus_alleni,0,[11]
Adolfus_jacksoni,0,[11]
Adolfus_vauereselli,0,[11]
Aeluroglena_cucullata,0,[19]
Aeluroscalabotes_felinus,0,[4]
Afroablepharus_wahlbergi,0,[24]
Afroedura_africana,0,[4]
Afroedura_amatolica,0,[4]
Afroedura_bogerti,0,[4]
Afroedura_hawequensis,0,[4]
Afroedura_karroica,0,[4]
Afroedura_nivaria,0,[4]
Afroedura_pondolia,0,[4]
Afroedura_tembulica,0,[4]
Afroedura_transvaalica,0,[4]
Afrogecko_ansorgii,0,[4]
Afrogecko_porphyreus,0,[4]
Afrogecko_swartbergensis,0,[4]
Afronatrix_anoscopus,0,[19]
Agama_aculeata,0,[2]
Agama_agama,0,[2]
Agama_anchietae,0,[2]
Agama_armata,0,[2]
Agama_atra,0,[2]
Agama_bocourti,0,[2]
Agama_bottegi,0,[2]
Agama_boueti,0,[2]
Agama_boulengeri,0,[2]
Agama_castroviejoi,0,[2]
Agama_caudospinosa,0,[2]
Agama_cornii,0,[2]
Agama_doriae,0,[2]
Agama_etoshae,0,[2]
Agama_finchi,0,[2]
Agama_gracilimembris,0,[2]
Agama_hartmanni,0,[2]
Agama_hispida,0,[2]
Agama_impalearis,0,[2]
Agama_insularis,0,[2]
Agama_kaimosae,0,[2]
Agama_kirkii,0,[2]
Agama_lionotus,0,[2]
Agama_mehelyi,0,[2]
Agama_montana,0,[2]
Agama_mossambica,0,[2]
Agama_mwanzae,0,[2]
Agama_paragama,0,[2]
Agama_persimilis,0,[2]
Agama_planiceps,0,[2]
Agama_robecchii,0,[2]
Agama_rueppelli,0,[2]
Agama_sankaranica,0,[2]
Agama_spinosa,0,[2]
Agama_sylvana,0,[2]
Agama_turuensis,0,[2]
Agama_weidholzi,0,[2]
Agamodon_anguliceps,0,[1]
Agamodon_arabicus,0,[1]
Agamodon_compressus,0,[1]
Agamura_femoralis,0,[4]
Agamura_misonnei,0,[4]
Agamura_persica,0,[4]
Agkistrodon_bilineatus,1,[22]
Agkistrodon_contortrix,1,[22]
Agkistrodon_piscivorus,1,[22]
Agkistrodon_taylori,1,[22]
Ahaetulla_dispar,1,[19]
Ahaetulla_fasciolata,1,[19]
Ahaetulla_fronticincta,1,[19]
Ahaetulla_mycterizans,1,[19]
Ahaetulla_nasuta,1,[19]
Ahaetulla_perroteti,1,[19]
Ahaetulla_prasina,1,[19]
Ahaetulla_pulverulenta,1,[19]
Ailuronyx_seychellensis,0,[4]
Ailuronyx_tachyscopaeus,0,[4]
Ailuronyx_trachygaster,0,[4]
Aipysurus_apraefrontalis,1,[20]
Aipysurus_duboisii,1,[20]
Aipysurus_eydouxii,1,[20]
Aipysurus_foliosquama,1,[20]
Aipysurus_fuscus,1,[20]
Aipysurus_laevis,1,[20]
Aipysurus_tenuis,1,[20]
Alexandresaurus_camacan,0,[9]
Algyroides_fitzingeri,0,[11]
Algyroides_marchi,0,[11]
Algyroides_moreoticus,0,[11]
Algyroides_nigropunctatus,0,[11]
Alluaudina_bellyi,0,[21]
Alluaudina_mocquardi,0,[21]
Alopoglossus_andeanus,0,[9]
Alopoglossus_angulatus,0,[9]
Alopoglossus_atriventris,0,[9]
Alopoglossus_buckleyi,0,[9]
Alopoglossus_copii,0,[9]
Alopoglossus_festae,0,[9]
Alopoglossus_lehmanni,0,[9]
Alsophis_anomalus,0,[19]
Alsophis_antiguae,0,[19]
Alsophis_antillensis,0,[19]
Alsophis_ater,0,[19]
Alsophis_biserialis,0,[19]
Alsophis_cantherigerus,0,[19]
Alsophis_dorsalis,0,[19]
Alsophis_elegans,0,[19]
Alsophis_melanichnus,0,[19]
Alsophis_portoricensis,0,[19]
Alsophis_rijgersmaei,0,[19]
Alsophis_rufiventris,0,[19]
Alsophis_sanctaecrucis,0,[19]
Alsophis_sanctonum,0,[19]
Alsophis_vudii,0,[19]
Alsophylax_boehmei,0,[4]
Alsophylax_laevis,0,[4]
Alsophylax_loricatus,0,[4]
Alsophylax_pipiens,0,[4]
Alsophylax_przewalskii,0,[4]
Alsophylax_tadjikiensis,0,[4]
Alsophylax_tokobajevi,0,[4]
Amapasaurus_tetradactylus,0,[9]
Amastridium_veliferum,0,[19]
Amblyodipsas_concolor,0,[21]
Amblyodipsas_dimidiata,0,[21]
Amblyodipsas_katangensis,0,[21]
Amblyodipsas_microphthalma,0,[21]
Amblyodipsas_polylepis,0,[21]
Amblyodipsas_rodhaini,0,[21]
Amblyodipsas_teitana,0,[21]
Amblyodipsas_unicolor,0,[21]
Amblyodipsas_ventrimaculata,0,[21]
Amblyrhynchus_cristatus,0,[7]
Ameiva_ameiva,0,[9]
Ameiva_anomala,0,[9]
Ameiva_auberi,0,[9]
Ameiva_bifrontata,0,[9]
Ameiva_bridgesii,0,[9]
Ameiva_chaitzami,0,[9]
Ameiva_chrysolaema,0,[9]
Ameiva_cineracea,0,[9]
Ameiva_corax,0,[9]
Ameiva_corvina,0,[9]
Ameiva_dorsalis,0,[9]
Ameiva_edracantha,0,[9]
Ameiva_erythrocephala,0,[9]
Ameiva_exsul,0,[9]
Ameiva_festiva,0,[9]
Ameiva_fuscata,0,[9]
Ameiva_griswoldi,0,[9]
Ameiva_leberi,0,[9]
Ameiva_leptophrys,0,[9]
Ameiva_lineolata,0,[9]
Ameiva_major,0,[9]
Ameiva_maynardi,0,[9]
Ameiva_niceforoi,0,[9]
Ameiva_orcesi,0,[9]
Ameiva_plei,0,[9]
Ameiva_pluvianotata,0,[9]
Ameiva_polops,0,[9]
Ameiva_provitaae,0,[9]
Ameiva_quadrilineata,0,[9]
Ameiva_septemlineata,0,[9]
Ameiva_taeniura,0,[9]
Ameiva_undulata,0,[9]
Ameiva_vittata,0,[9]
Ameiva_wetmorei,0,[9]
Amphibolurus_muricatus,0,[2]
Amphibolurus_nobbi,0,[2]
Amphibolurus_norrisi,0,[2]
Amphiesma_andreae,0,[19]
Amphiesma_atemporale,0,[19]
Amphiesma_beddomei,0,[19]
Amphiesma_bitaeniatum,0,[19]
Amphiesma_boulengeri,0,[19]
Amphiesma_celebicum,0,[19]
Amphiesma_concelarum,0,[19]
Amphiesma_craspedogaster,0,[19]
Amphiesma_deschauenseei,0,[19]
Amphiesma_flavifrons,0,[19]
Amphiesma_frenatum,0,[19]
Amphiesma_groundwateri,0,[19]
Amphiesma_inas,0,[19]
Amphiesma_ishigakiense,1,[19]
Amphiesma_johannis,0,[19]
Amphiesma_kerinciense,0,[19]
